ID,iExec,FO,IterAlvo,TotalIter,Tempo
11-200.0.99.0.1.0.01,0,14904,4090,5090,14.969562856
11-200.0.99.0.1.0.01,1,14877,4164,5164,15.653995392
11-200.0.99.0.1.0.01,2,14880,3236,4236,13.600945964
11-200.0.99.0.1.0.01,3,14833,2855,3855,12.470685320
11-200.0.99.0.1.0.01,4,14921,3273,4273,13.131624429
11-200.0.99.0.1.0.01,5,14850,2981,3981,12.398770743
11-200.0.99.0.1.0.01,6,14913,2654,3654,10.921265007
11-200.0.99.0.1.0.01,7,14833,3155,4155,12.537852362
11-200.0.99.0.1.0.01,8,14831,3393,4393,13.592383209
11-200.0.99.0.1.0.01,9,14815,2972,3972,11.662309931
