ID,iExec,FO,IterAlvo,TotalIter,Tempo
26-400.0.99.0.1.0.005,0,14929,3424,4424,22.701170830
26-400.0.99.0.1.0.005,1,14866,3148,4148,22.164876164
26-400.0.99.0.1.0.005,2,14851,2609,3609,20.534592057
26-400.0.99.0.1.0.005,3,14850,5028,5374,30.10120972
26-400.0.99.0.1.0.005,4,14837,2757,3757,21.546500198
26-400.0.99.0.1.0.005,5,15134,2968,3968,25.528583781
26-400.0.99.0.1.0.005,6,14940,3296,4296,27.998129279
26-400.0.99.0.1.0.005,7,15205,3253,4253,26.586112282
26-400.0.99.0.1.0.005,8,14800,3204,4204,26.373291418
26-400.0.99.0.1.0.005,9,14885,3654,4654,29.105325811
