ID,iExec,FO,IterAlvo,TotalIter,Tempo
12-200.0.99.1.0.0.005,0,14800,2646,3646,13.914382709
12-200.0.99.1.0.0.005,1,14803,2461,3461,12.126433155
12-200.0.99.1.0.0.005,2,14804,2471,3471,13.723030242
12-200.0.99.1.0.0.005,3,14798,4025,5025,19.878203170
12-200.0.99.1.0.0.005,4,14799,3190,4190,16.54224187
12-200.0.99.1.0.0.005,5,14800,4808,5808,22.226915186
12-200.0.99.1.0.0.005,6,14798,3757,4757,20.300740288
12-200.0.99.1.0.0.005,7,14798,3189,4189,16.200850436
12-200.0.99.1.0.0.005,8,14799,3261,4261,16.944401017
12-200.0.99.1.0.0.005,9,14798,3221,4221,17.485293170
